Modelo,Acurácia,Precisão - Alta Qualidade,Recall - Alta Qualidade,F1-score - Alta Qualidade
Regressão Logística,0.897,0.65,0.481,0.553
Random Forest,0.907,0.722,0.481,0.578
Regressão Logística Balanceada,0.784,0.356,0.778,0.488
Random Forest Balanceado,0.907,0.9,0.333,0.486
